"MsgType","Ord","FieldName","VarName","FieldType","Note","Width","viewable"
"Q",27,"Restricted Code","rstrcdcode","string","'N' or 'R'",,False
"Q",28,"Net Asset Value","nav","float","Mutual Funds Only",,False
"Q",29,"Average Maturity","avemat","float","",,False
"Q",30,"7 Day Yield","7dayyld","float","OTC & BB only",,False
"Q",31,"Last Trade Date","ltd","MM/DD/YY","",,False
"Q",32,"Reserved","",">","",,False
"Q",33,"Ext. Trade Last","exttrdlst","float","pre/post market trades",,False
"Q",34,"Expiration Date","expdate","MM/DD/YY","futures & options",84,True
"Q",35,"Regional Volume","regvol","integer","",,False
"Q",36,"Net Asset Value","nav2","float","",,False
"Q",37,"Ex. Trade Change","exttrdchng","float","pre/post market change",,False
"Q",38,"Ex. Trade Dif","exttrddif","float","pre/post market",,False
"Q",39,"P/E Ratio","peratio","float","real time calculated PE",59,True
"Q",40,"% Off Ave. Vol.","pcntoffvol","float","",83,True
"Q",41,"Bid Change","bidchng","float","change in bid since last offer",67,True
"Q",42,"Ask Change","askchng","float","change in ask since last offer",70,True
"Q",43,"Change Frm Open","chngopen","float","change in last since open",98,True
"Q",44,"Market Open","mktopen","integer","1 open 2 closed",74,True
"Q",45,"Volatility","volatility","float","real time calc volatility",76,True
"Q",46,"Market Cap.","mktcap","float","real time calc ",97,True
"Q",47,"Fraction Dis","frctncode","integer","see format codes",,False
"Q",48,"Decimal Prec","decprec","integer","last preceision used",,False
"Q",49,"Days to Exp.","daysexp","integer","days to contract expiry",72,True
"Q",50,"PVol","pvol","integer","prev days volume",,False
"Q",51,"Regions","regiions","string","",,False
"Q",52,"Open Range 1","opnrng1","float","",82,True
"Q",53,"Close Range 1","clsrng1","float","",82,True
"Q",54,"Open Range 2","opnrng2","float","",82,True
"Q",55,"Close Range 2","clsrng2","float","",82,True
"Q",56,"#Trades Today","trdstoday","integer","",85,True
"Q",57,"Bid Time","bidtime","time","",,False
"Q",58,"Ask Time","asktime","time","",,False
"Q",59,"VWAP","vwap","price","volume weighted ave price",,False
"R",1,"R","r","string","Regional Data",,False
"R",2,"Symbol","symbol","string","",,True
"R",3,"Exchange","exchange","string","Market Center Codes",,True
"R",4,"Bid","bid","float","",,True
"R",5,"BidSize","bidsize","integer","",,True
"R",6,"BidTime","bidtime","HH;MM[a,p]","",,True
"R",7,"Ask","ask","float","",,True
"R",8,"AskSize","asksize","integer","",,True
"R",9,"AskTime","asktime","HH:MM[a,p]","",,True
